NodeA,NodeB,Weights
96,12729,1.0
96,823,1.0
96,11414,1.0
96,11838,1.0
96,152,1.0
96,10573,1.0
96,13128,1.0
96,867,0.0
97,736,1.0
97,185,1.0
97,9459,1.0
97,625,1.0
97,28,1.0
97,5472,1.0
97,213,1.0
97,314,1.0
97,4072,1.0
97,153,0.0
98,242,1.0
98,521,1.0
98,12343,1.0
98,863,1.0
98,4178,1.0
98,783,1.0
98,286,1.0
98,156,1.0
98,29,1.0
98,4931,0.0
99,1716,1.0
99,84,1.0
99,9623,1.0
99,2983,1.0
99,1033,1.0
99,1749,1.0
99,47,1.0
99,2422,1.0
99,494,1.0
99,9350,0.0
100,741,1.0
100,716,1.0
100,701,1.0
100,12302,1.0
100,10781,1.0
100,696,1.0
100,553,1.0
100,700,1.0
100,800,1.0
100,10333,1.0
101,163,1.0
101,328,1.0
101,322,1.0
101,801,1.0
101,9240,1.0
101,147,1.0
101,1002,1.0
101,314,1.0
101,717,1.0
101,9487,0.0
102,638,1.0
102,3942,1.0
102,687,1.0
102,893,1.0
102,503,1.0
102,808,1.0
102,874,1.0
102,753,1.0
102,825,0.0
102,12485,0.0
103,974,1.0
103,43,1.0
103,283,1.0
103,966,1.0
103,522,1.0
103,169,1.0
103,240,1.0
103,756,1.0
103,850,0.0
103,63,0.0
104,1067,1.0
104,528,1.0
104,630,1.0
104,134,1.0
104,453,1.0
104,501,1.0
104,596,1.0
104,767,1.0
104,191,1.0
104,162,0.0
105,279,1.0
105,645,1.0
105,369,1.0
105,9224,1.0
105,686,1.0
105,311,1.0
105,811,1.0
105,1037,1.0
105,12457,0.0
105,9868,0.0
106,696,1.0
106,750,1.0
106,666,1.0
106,623,1.0
106,460,1.0
106,800,1.0
106,73,1.0
106,10391,0.0
106,805,0.0
106,11320,0.0
107,361,1.0
107,195,1.0
107,602,1.0
107,11055,1.0
107,658,1.0
107,743,1.0
107,12442,1.0
107,614,0.0
107,11536,0.0
107,469,0.0
108,957,1.0
108,13088,1.0
108,9684,1.0
108,12349,1.0
108,11062,1.0
108,10885,1.0
108,10404,1.0
108,10725,1.0
108,685,0.0
108,12836,0.0
109,1118,1.0
109,882,1.0
109,420,1.0
109,762,1.0
109,75,1.0
109,611,1.0
109,450,1.0
109,574,1.0
109,948,0.0
109,1905,0.0
110,12461,1.0
110,11016,1.0
110,884,1.0
110,11971,1.0
110,10766,1.0
110,10596,1.0
110,11267,1.0
110,12319,1.0
110,878,1.0
110,12007,0.0
111,9464,1.0
